time,flux
0,119.88
1,100.21
2,86.46
3,48.68
4,46.12
5,39.39
6,18.57
7,6.98
8,6.63
9,-21.97
10,-23.17
11,-29.26
12,-33.99
13,-6.25
14,-28.12
15,-27.24
16,-32.28
17,-12.29
18,-16.57
19,-23.86
20,-5.69
21,9.24
22,35.52
23,81.2
24,116.49
25,133.99
26,148.97
27,174.15
28,187.77
29,215.3
30,246.8
31,-56.68
32,-56.68
33,-56.68
34,-52.05
35,-31.52
36,-31.15
37,-48.53
38,-38.93
39,-26.06
40,6.63
41,29.13
42,64.7
43,79.74
44,12.21
45,12.21
46,-19.94
47,-28.6
48,-20.54
49,51.39
50,22.06
51,-25.19
52,-21.59
53,-12.83
54,-23.44
55,-29.86
56,-23.36
57,-7.58
58,-13.74
59,-12.15
60,13.87
61,31.66
62,28.52
63,52.38
64,49.17
65,90.2
66,90.92
67,101.25
68,18.63
69,18.63
70,17.73
71,0.07
72,9.35
73,-16.77
74,-22.06
75,-34.04
76,-36.12
77,-20.3
78,-34.39
79,-38.15
80,-39.48
81,-46.41
82,-35.29
83,-37.61
84,-31.8
85,-17.83
86,-11.92
87,19.95
88,39.26
89,42.52
90,42.29
91,93.7
92,10.37
93,10.37
94,9.49
95,8.15
96,12.5
97,-17.51
98,-16.88
99,-11.8
100,-11.54
101,-32.34
102,-16.89
103,-30.22
104,-22.02
105,-22.12
106,20.48
107,-68.94
108,-59.25
109,-37.81
110,-43.97
111,-52.67
112,-30.38
113,-35.71
114,-13.38
115,-11.65
116,13.73
117,22.13
118,17.82
119,37.17
120,33.21
121,27.56
122,41.65
123,22.51
124,15.5
125,25.86
126,48.58
127,43.58
128,-41.46
129,-41.46
130,-7.21
131,-22.9
132,2.29
133,5.33
134,8.01
135,26.99
136,27.53
137,30.74
138,37.07
139,23.85
140,-24.55
141,-24.55
142,-42.99
143,-41.14
144,-48.09
145,-48.3
146,-49.62
147,-53.21
148,-64.13
149,-52.58
150,-49.38
151,-27.25
152,-41.98
153,-44.17
154,-29.73
155,-8.54
156,1.19
157,11.72
158,18.5
159,7.19
160,-0.69
161,5.2
162,-5.53
163,-3.85
164,-52.85
165,-52.85
166,-61.71
167,-50.88
168,-49.47
169,-52.35
170,-51.92
171,-41.74
172,-42.38
173,-26.7
174,-13.13
175,-0.7
176,-8.62
177,-14.44
178,13.7
179,3.46
180,10.04
181,10.41
182,14.06
183,12.58
184,10.35
185,16.46
186,25.74
187,33.61
188,-13.14
189,-13.14
190,-18.66
191,-10.77
192,-17.84
193,-11.12
194,-18.36
195,-40.2
196,-36.82
197,-35.31
198,-37.62
199,-30.91
200,-37.98
201,-33.78
202,-48.07
203,-19.99
204,-26.03
205,-36.74
206,-21.82
207,-17.04
208,-15.07
209,-11.03
210,19.89
211,4.32
212,-15.31
213,-15.31
214,-36.09
215,-36.34
216,-50.59
217,-40.99
218,-50.24
219,-49.31
220,-42.84
221,-63.58
222,-59.16
223,-44.25
224,-37.66
225,-51.28
226,-36.91
227,-23.17
228,-19.8
229,-8.08
230,2.9
231,4.98
232,11.24
233,5.97
234,-14.47
235,11.95
236,-41.01
237,-41.01
238,-41.08
239,-45.11
240,-35.62
241,-24.99
242,-23.3
243,-12.49
244,-21.49
245,-17.79
246,-16.59
247,3.92
248,17.32
249,21.74
250,16.27
251,0.85
252,4.34
253,-8.1
254,-23.61
255,-22.83
256,-23.75
257,-25.08
258,-13.13
259,-8.36
260,-28.57
261,-28.57
262,-24.37
263,-28.62
264,-18.08
265,-16.01
266,-15.68
267,-8.62
268,-2.34
269,12.33
270,18.76
271,11.04
272,-15.5
273,-15.5
274,-25.83
275,-29.52
276,-21.23
277,-42.03
278,-50.06
279,-47.79
280,-54.13
281,-43.17
282,-35.89
283,-30.54
284,-16.98
285,-16.98
286,-23.29
287,-26.35
288,-38.37
289,-39.24
290,-50.4
291,-55.77
292,-44.34
293,-42.72
294,-27.95
295,-31.95
296,-30.88
297,-33.5
298,-26.47
299,-12.76
300,-14.51
301,-26.79
302,-10.59
303,-9.88
304,14.58
305,14.47
306,3.59
307,11.62
308,-15.23
309,-15.23
310,-18.45
311,-23.48
312,-26.62
313,-16.41
314,-12.31
315,-31.93
316,-40.38
317,-12.42
318,-5.29
319,-14.25
320,3.13
321,-9.48
322,-15.35
323,-15.44
324,-20.23
325,-29.58
326,-6.9
327,-0.27
328,-14.46
329,-18.85
330,-11.25
331,-10.27
332,-6.16
333,1.68
334,4.68
335,5.25
336,-4.16
337,32.64
338,28.0
339,16.7
340,16.39
341,-4.36
342,9.44
343,6.24
344,1.46
345,1.46
346,-9.46
347,-29.42
348,-21.79
349,-31.39
350,-21.02
351,135.8
352,-11.98
353,-33.86
354,-19.85
355,-31.43
356,-35.39
357,-33.2
358,-29.58
359,-24.26
360,-27.22
361,-34.47
362,-30.28
363,-26.83
364,-37.35
365,-28.16
366,-20.93
367,-17.56
368,-39.47
369,-23.11
370,-27.3
371,-30.93
372,-19.48
373,-24.51
374,-17.64
375,-13.59
376,-9.01
377,-7.84
378,-2.64
379,-0.36
380,22.62
381,22.62
382,22.46
383,21.48
384,20.17
385,15.58
386,13.75
387,43.53
388,21.18
389,50.7
390,52.32
391,41.83
392,5.05
393,5.05
394,5.67
395,-2.39
396,11.8
397,8.53
398,-1.52
399,3.24
400,-5.47
401,4.42
402,-13.89
403,-6.39
404,-4.94
405,-0.56
406,-2.16
407,7.16
408,-11.39
409,-13.97
410,-18.68
411,-15.5
412,-1.6
413,-9.52
414,-6.17
415,-12.86
416,-7.33
417,-12.12
418,-9.4
419,-9.02
420,-17.37
421,-18.04
422,-4.77
423,-6.54
424,-2.2
425,-6.09
426,-3.18
